pop,asn,type
saopaulo,271138,route_server_peer
saopaulo,266953,route_server_peer
saopaulo,61648,route_server_peer
saopaulo,53191,route_server_peer
saopaulo,262966,route_server_peer
saopaulo,271042,route_server_peer
saopaulo,6939,peer
saopaulo,28225,route_server_peer
saopaulo,28573,route_server_peer
saopaulo,28210,route_server_peer
saopaulo,267256,route_server_peer
saopaulo,270976,route_server_peer
saopaulo,270375,route_server_peer
saopaulo,268647,route_server_peer
saopaulo,268633,route_server_peer
saopaulo,267654,route_server_peer
saopaulo,53043,route_server_peer
saopaulo,270522,route_server_peer
saopaulo,270294,route_server_peer
saopaulo,53427,route_server_peer
saopaulo,264195,route_server_peer
saopaulo,265886,route_server_peer
saopaulo,268551,route_server_peer
saopaulo,270921,route_server_peer
saopaulo,267263,route_server_peer
saopaulo,263616,route_server_peer
saopaulo,267573,route_server_peer
saopaulo,264351,route_server_peer
saopaulo,52974,route_server_peer
saopaulo,263601,route_server_peer
saopaulo,262312,route_server_peer
saopaulo,263484,route_server_peer
saopaulo,2906,route_server_peer
saopaulo,268485,route_server_peer
saopaulo,265365,route_server_peer
saopaulo,262609,route_server_peer
saopaulo,265066,route_server_peer
saopaulo,61851,route_server_peer
saopaulo,271626,route_server_peer
saopaulo,271011,route_server_peer
saopaulo,262667,route_server_peer
saopaulo,7162,route_server_peer
saopaulo,61924,route_server_peer
saopaulo,23028,route_server_peer
saopaulo,265421,route_server_peer
saopaulo,268913,route_server_peer
saopaulo,263527,route_server_peer
saopaulo,262970,route_server_peer
saopaulo,53231,route_server_peer
saopaulo,268355,route_server_peer
saopaulo,28229,route_server_peer
saopaulo,28215,route_server_peer
saopaulo,270608,route_server_peer
saopaulo,270995,route_server_peer
saopaulo,3300,route_server_peer
saopaulo,20940,peer
saopaulo,262537,route_server_peer
saopaulo,268637,route_server_peer
saopaulo,266385,route_server_peer
saopaulo,267034,route_server_peer
saopaulo,28361,route_server_peer
saopaulo,271587,route_server_peer
saopaulo,266429,route_server_peer
saopaulo,52696,route_server_peer
saopaulo,266201,route_server_peer
saopaulo,265450,route_server_peer
saopaulo,264598,route_server_peer
saopaulo,266968,route_server_peer
saopaulo,265975,route_server_peer
saopaulo,11835,route_server_peer
saopaulo,270528,route_server_peer
saopaulo,264997,route_server_peer
saopaulo,52978,route_server_peer
saopaulo,272447,route_server_peer
saopaulo,267124,route_server_peer
saopaulo,271609,route_server_peer
saopaulo,263152,route_server_peer
saopaulo,272458,route_server_peer
saopaulo,268138,route_server_peer
saopaulo,52999,route_server_peer
saopaulo,15169,route_server_peer
saopaulo,53087,route_server_peer
saopaulo,268006,route_server_peer
saopaulo,53160,route_server_peer
saopaulo,52545,route_server_peer
saopaulo,61614,route_server_peer
saopaulo,60068,route_server_peer
saopaulo,262306,route_server_peer
saopaulo,269228,route_server_peer
saopaulo,1921,customer
saopaulo,263469,route_server_peer
saopaulo,13360,route_server_peer
saopaulo,28300,route_server_peer
saopaulo,53065,route_server_peer
saopaulo,264381,route_server_peer
saopaulo,262989,route_server_peer
saopaulo,61844,route_server_peer
saopaulo,262433,route_server_peer
saopaulo,61906,route_server_peer
saopaulo,269715,route_server_peer
saopaulo,52848,route_server_peer
saopaulo,271274,route_server_peer
saopaulo,61704,route_server_peer
saopaulo,271479,route_server_peer
saopaulo,28234,route_server_peer
saopaulo,269235,route_server_peer
saopaulo,267507,route_server_peer
saopaulo,270923,route_server_peer
saopaulo,271464,route_server_peer
saopaulo,267279,route_server_peer
saopaulo,263535,route_server_peer
saopaulo,28292,route_server_peer
saopaulo,28640,route_server_peer
saopaulo,269271,route_server_peer
saopaulo,271383,route_server_peer
saopaulo,265284,route_server_peer
saopaulo,269040,route_server_peer
saopaulo,268202,route_server_peer
saopaulo,266448,route_server_peer
saopaulo,40850,route_server_peer
saopaulo,269553,route_server_peer
saopaulo,262476,route_server_peer
saopaulo,61659,route_server_peer
saopaulo,268788,route_server_peer
saopaulo,52686,route_server_peer
saopaulo,9009,route_server_peer
saopaulo,53107,route_server_peer
saopaulo,52759,route_server_peer
saopaulo,263625,route_server_peer
saopaulo,266207,route_server_peer
saopaulo,263087,route_server_peer
saopaulo,264046,route_server_peer
saopaulo,271328,route_server_peer
saopaulo,54113,route_server_peer
saopaulo,27720,route_server_peer
saopaulo,53018,route_server_peer
saopaulo,28126,route_server_peer
saopaulo,270497,route_server_peer
saopaulo,268253,route_server_peer
saopaulo,25933,route_server_peer
saopaulo,53062,route_server_peer
saopaulo,264170,route_server_peer
saopaulo,61918,route_server_peer
saopaulo,271247,route_server_peer
saopaulo,266282,route_server_peer
saopaulo,271283,route_server_peer
saopaulo,264554,route_server_peer
saopaulo,267446,route_server_peer
saopaulo,263532,route_server_peer
saopaulo,271565,route_server_peer
saopaulo,28169,route_server_peer
saopaulo,270320,route_server_peer
saopaulo,270630,route_server_peer
saopaulo,272022,route_server_peer
saopaulo,262753,route_server_peer
saopaulo,270927,route_server_peer
saopaulo,61752,route_server_peer
saopaulo,265279,route_server_peer
saopaulo,270675,route_server_peer
saopaulo,262755,route_server_peer
saopaulo,268924,route_server_peer
saopaulo,268730,route_server_peer
saopaulo,53243,route_server_peer
saopaulo,266962,route_server_peer
saopaulo,269627,route_server_peer
saopaulo,265234,route_server_peer
saopaulo,264255,route_server_peer
saopaulo,268436,route_server_peer
saopaulo,268726,route_server_peer
saopaulo,269036,route_server_peer
saopaulo,270776,route_server_peer
saopaulo,267360,route_server_peer
saopaulo,28131,route_server_peer
saopaulo,267191,route_server_peer
saopaulo,264552,route_server_peer
saopaulo,266131,route_server_peer
saopaulo,262832,route_server_peer
saopaulo,52694,route_server_peer
saopaulo,268568,route_server_peer
saopaulo,266213,route_server_peer
saopaulo,271673,route_server_peer
saopaulo,264596,route_server_peer
saopaulo,271325,route_server_peer
saopaulo,266529,route_server_peer
saopaulo,268205,route_server_peer
saopaulo,267590,route_server_peer
saopaulo,53169,route_server_peer
saopaulo,267212,route_server_peer
saopaulo,262557,route_server_peer
saopaulo,61934,route_server_peer
saopaulo,266360,route_server_peer
saopaulo,269670,route_server_peer
saopaulo,271694,route_server_peer
saopaulo,270819,route_server_peer
saopaulo,270804,route_server_peer
saopaulo,264913,route_server_peer
saopaulo,61941,route_server_peer
saopaulo,52930,route_server_peer
saopaulo,262632,route_server_peer
